StockCode,Description,TotalQuantitySold,TotalRevenue
35953,FOLKART STAR CHRISTMAS DECORATIONS,72,48.72
22935,BAKING MOULD ROSE MILK CHOCOLATE,72,198.0
21819,GLITTER CHRISTMAS STAR ,72,28.08
22597,MUSICAL ZINC HEART DECORATION ,72,20.88
22865,HAND WARMER OWL DESIGN,71,149.1
20726,LUNCH BAG WOODLAND,71,133.7
22178,VICTORIAN GLASS HANGING T-LIGHT,70,92.34
21985,PACK OF 12 HEARTS DESIGN TISSUES ,69,20.41
22646,CERAMIC STRAWBERRY CAKE MONEY BANK,69,63.73
23301,GARDENERS KNEELING PAD KEEP CALM ,69,126.97
22993,SET OF 4 PANTRY JELLY MOULDS,68,98.45
85062,PEARL CRYSTAL PUMPKIN T-LIGHT HLDR,68,112.2
22614,PACK OF 12 SPACEBOY TISSUES,67,26.13
22333,RETROSPOT PARTY BAG + STICKER SET,67,100.95
22608,PENS ASSORTED FUNKY JEWELED ,67,19.86
72741,GRAND CHOCOLATECANDLE,66,99.63
22470,HEART OF WICKER LARGE,66,178.7
23298,SPOTTY BUNTING,66,343.58
22469,HEART OF WICKER SMALL,65,117.17
21914,BLUE HARMONICA IN BOX ,65,84.88
22727,ALARM CLOCK BAKELIKE RED ,64,253.62
21810,CHRISTMAS HANGING STAR WITH BELL,64,33.19
82494L,WOODEN FRAME ANTIQUE WHITE ,64,183.87
22197,SMALL POPCORN HOLDER,63,58.23
22041,"RECORD FRAME 7"" SINGLE SIZE ",63,168.13
23171,REGENCY TEA PLATE GREEN ,63,108.87
21889,WOODEN BOX OF DOMINOES,62,80.75
23209,LUNCH BAG VINTAGE DOILY ,62,102.3
22029,SPACEBOY BIRTHDAY CARD,62,26.86
23583,LUNCH BAG PAISLEY PARK  ,62,102.3
21915,RED  HARMONICA IN BOX ,62,77.5
21802,CHRISTMAS TREE HEART DECORATION,62,26.04
23000,TRAVEL CARD WALLET TRANSPORT,61,26.44
22834,HAND WARMER BABUSHKA DESIGN,61,68.1
22835,HOT WATER BOTTLE I AM SO POORLY,61,316.97
22759,SET OF 3 NOTEBOOKS IN PARCEL,61,100.65
21980,PACK OF 12 RED RETROSPOT TISSUES ,61,20.09
21519,GIN & TONIC DIET GREETING CARD ,61,26.03
23343,JUMBO BAG VINTAGE CHRISTMAS ,60,124.8
22934,BAKING MOULD EASTER EGG WHITE CHOC,60,157.8
23432,PRETTY HANGING QUILTED HEARTS,60,44.52
22969,HOMEMADE JAM SCENTED CANDLES,60,87.0
23175,REGENCY MILK JUG PINK ,60,179.42
22354,RETROSPOT PADDED SEAT CUSHION,60,203.4
21731,RED TOADSTOOL LED NIGHT LIGHT,59,97.35
21934,SKULL SHOULDER BAG,59,99.49
22595,GINGHAM HEART DECORATION,59,58.73
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,58,155.1
20685,DOORMAT RED RETROSPOT,58,401.1
22952,60 CAKE CASES VINTAGE CHRISTMAS,58,31.9
20975,12 PENCILS SMALL TUBE RED RETROSPOT,57,41.46
22733,3D TRADITIONAL CHRISTMAS STICKERS,57,71.25
20971,PINK BLUE FELT CRAFT TRINKET BOX,57,77.3
23162,REGENCY TEA STRAINER,57,195.38
22896,PEG BAG APPLES DESIGN,56,120.3
21181,PLEASE ONE PERSON METAL SIGN,56,117.6
23287,RED VINTAGE SPOT BEAKER,56,47.6
20963,APPLE BATH SPONGE,55,73.59
72802A,ROSE SCENT CANDLE IN JEWELLED BOX,55,209.99
22556,PLASTERS IN TIN CIRCUS PARADE ,55,90.75
85099F,JUMBO BAG STRAWBERRY,55,116.45
37340,MULTICOLOUR SPRING FLOWER MUG,54,35.46
23300,GARDENERS KNEELING PAD CUP OF TEA ,54,94.02
23295,SET OF 12 MINI LOAF BAKING CASES,54,44.82
22084,PAPER CHAIN KIT EMPIRE,54,143.3
22818,CARD CHRISTMAS VILLAGE,53,22.26
21213,PACK OF 72 SKULL CAKE CASES,53,32.08
22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,53,15.37
22698,PINK REGENCY TEACUP AND SAUCER,53,201.79
22090,PAPER BUNTING RETROSPOT,53,162.99
22531,MAGIC DRAWING SLATE CIRCUS PARADE  ,53,22.26
22386,JUMBO BAG PINK POLKADOT,52,117.86
22960,JAM MAKING SET WITH JARS,52,231.16
23245,SET OF 3 REGENCY CAKE TINS,52,279.64
85132A,CHARLIE + LOLA BISCUITS TINS,52,127.48
23174,REGENCY SUGAR BOWL GREEN,52,196.6
23365,SET 12 COLOUR PENCILS LOVE LONDON,52,33.8
22174,PHOTO CUBE,52,82.56
21733,RED HANGING HEART T-LIGHT HOLDER,51,150.45
84988,SET OF 72 PINK HEART PAPER DOILIES,51,86.08
22741,FUNKY DIVA PEN,51,44.91
22895,SET OF 2 TEA TOWELS APPLE AND PEARS,51,150.45
22046,TEA PARTY  WRAPPING PAPER ,50,21.0
22268,DECORATION SITTING BUNNY,50,10.38
85040A,S/4 PINK FLOWER CANDLES IN BOWL,50,82.5
21499,BLUE POLKADOT WRAP,50,21.0
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,50,153.18
23231,WRAP DOILEY DESIGN,50,21.0
16161P,WRAP ENGLISH ROSE ,50,21.0
22028,PENNY FARTHING BIRTHDAY CARD,50,21.82
21990,MODERN FLORAL STATIONERY SET,50,62.5
20972,PINK CREAM FELT CRAFT TRINKET BOX ,50,71.32
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,50,45.92
22986,GINGHAM ROSE WRAP,50,21.0
21497,FANCY FONTS BIRTHDAY WRAP,50,21.0
23439,HAND WARMER RED LOVE HEART,49,104.93
20978,36 PENCILS TUBE SKULLS,49,61.25
22294,HEART FILIGREE DOVE  SMALL,49,62.46
23309,SET OF 60 I LOVE LONDON CAKE CASES ,49,26.95
22094,RED RETROSPOT TISSUE BOX,49,31.5
22923,FRIDGE MAGNETS LES ENFANTS ASSORTED,48,40.8
22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,48,60.0
79000,MOROCCAN TEA GLASS,48,40.8
21830,ASSORTED CREEPY CRAWLIES,48,20.16
21481,FAWN BLUE HOT WATER BOTTLE,48,143.48
22152,PLACE SETTING WHITE STAR,48,20.16
79051A,SMOKEY GREY COLOUR GLASS,48,13.92
21084,SET/6 COLLAGE PAPER CUPS,48,9.12
85094,CANDY SPOT EGG WARMER RABBIT,48,9.12
23076,ICE CREAM SUNDAE LIP GLOSS,48,60.0
22418,10 COLOUR SPACEBOY PEN,48,40.8
21395,BLUE POLKADOT BEAKER ,48,18.72
22066,LOVE HEART TRINKET POT,48,18.72
21641,ASSORTED TUTTI FRUTTI KEYRING BALL,48,13.92
16052,TEATIME PUSH DOWN RUBBER,48,9.12
23132,SMALL IVORY HEART WALL ORGANISER,48,237.6
22033,BOTANICAL ROSE GREETING CARD,48,20.16
23504,PLAYING CARDS JUBILEE UNION JACK,48,60.0
21121,SET/10 RED POLKADOT PARTY CANDLES,48,60.0
23148,MINIATURE ANTIQUE ROSE HOOK IVORY,47,39.01
22367,CHILDRENS APRON SPACEBOY DESIGN,47,98.19
22893,MINI CAKE STAND T-LIGHT HOLDER,47,29.17
51014A,"FEATHER PEN,HOT PINK",46,38.18
23199,JUMBO BAG APPLES,46,107.98
84836,ZINC METAL HEART DECORATION,46,57.5
21524,DOORMAT SPOTTY HOME SWEET HOME,45,321.3
23321,SMALL WHITE HEART OF WICKER,44,72.6
22156,HEART DECORATION WITH PEARLS ,44,42.08
82482,WOODEN PICTURE FRAME WHITE FINISH,43,133.33
22726,ALARM CLOCK BAKELIKE GREEN,43,196.23
21217,RED RETROSPOT ROUND CAKE TINS,43,402.69
20719,WOODLAND CHARLOTTE BAG,43,44.5
23293,SET OF 12 FAIRY CAKE BAKING CASES,43,35.69
17003,BROCADE RING PURSE ,43,18.45
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,42,128.58
22866,HAND WARMER SCOTTY DOG DESIGN,42,88.2
23031,DRAWER KNOB CRACKLE GLAZE PINK,42,69.3
20966,SANDWICH BATH SPONGE,42,55.02
22138,BAKING SET 9 PIECE RETROSPOT ,42,207.9
85049A,TRADITIONAL CHRISTMAS RIBBONS,42,52.5
23203,JUMBO BAG DOILEY PATTERNS,42,87.36
23483,HANGING  BUTTERFLY T-LIGHT HOLDER,42,52.5
22629,SPACEBOY LUNCH BOX ,41,80.46
23501,KEY RING BASEBALL BOOT UNION JACK,41,51.25
21232,STRAWBERRY CERAMIC TRINKET BOX,41,52.46
23508,MINI PLAYING CARDS DOLLY GIRL ,41,17.22
22907,PACK OF 20 NAPKINS PANTRY DESIGN,41,34.85
22365,DOORMAT RESPECTABLE HOUSE,41,328.25
22569,FELTCRAFT CUSHION BUTTERFLY,41,148.98
21231,SWEETHEART CERAMIC TRINKET BOX,41,52.46
22568,FELTCRAFT CUSHION OWL,40,141.36
22995,TRAVEL CARD WALLET SUKI,40,17.21
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,40,159.15
22998,TRAVEL CARD WALLET KEEP CALM,40,19.26
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,40,30.72
20717,STRAWBERRY SHOPPER BAG,40,37.4
21770,OPEN CLOSED METAL SIGN,40,172.8
84970S,HANGING HEART ZINC T-LIGHT HOLDER,40,34.0
35970,ZINC FOLKART SLEIGH BELLS,39,65.91
22570,FELTCRAFT CUSHION RABBIT,39,146.25
20981,12 PENCILS TALL TUBE WOODLAND,39,33.15
21239,PINK  POLKADOT CUP,39,37.05
22617,BAKING SET SPACEBOY DESIGN,39,182.09
22996,TRAVEL CARD WALLET VINTAGE TICKET,39,18.02
23159,SET OF 5 PANCAKE DAY MAGNETS,38,79.04
22024,RAINY LADIES BIRTHDAY CARD,38,16.78
22697,GREEN REGENCY TEACUP AND SAUCER,38,154.7
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,38,104.13
35964,FOLKART CLIP ON STARS,38,15.7
22983,CARD BILLBOARD FONT,38,16.78
22714,CARD BIRTHDAY COWBOY,38,16.78
84596L,BISCUITS SMALL BOWL LIGHT BLUE,37,16.77
22030,SWALLOWS GREETING CARD,37,15.95
22554,PLASTERS IN TIN WOODLAND ANIMALS,37,61.05
22098,BOUDOIR SQUARE TISSUE BOX,37,15.29
22718,CARD CAT AND TREE ,37,15.95
23170,REGENCY TEA PLATE ROSES ,37,62.69
84536A,ENGLISH ROSE NOTEBOOK A7 SIZE,36,15.53
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,36,28.44
84341B,SMALL PINK MAGIC CHRISTMAS TREE,36,13.68
22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,36,45.0
17021,NAMASTE SWAGAT INCENSE,36,10.8
22037,ROBOT BIRTHDAY CARD,36,15.12
22976,CIRCUS PARADE CHILDRENS EGG CUP ,36,45.0
22067,CHOC TRUFFLE GOLD TRINKET POT ,36,14.04
23284,DOORMAT KEEP CALM AND COME IN,36,273.08
23380,PACK OF 12 VINTAGE DOILY TISSUES,36,14.04
22632,HAND WARMER RED RETROSPOT,36,75.6
23310,BUBBLEGUM RING ASSORTED,36,15.12
22093,MOTORING TISSUE BOX,36,15.12
85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,36,45.0
20718,RED RETROSPOT SHOPPER BAG,35,60.07
22079,RIBBON REEL HEARTS DESIGN ,35,62.81
22694,WICKER STAR ,35,79.94
82613D,METAL SIGN CUPCAKE SINGLE HOOK,35,24.35
22543,MINI JIGSAW BAKE A CAKE ,35,15.11
20961,STRAWBERRY BATH SPONGE ,35,48.69
22580,ADVENT CALENDAR GINGHAM SACK,34,169.54
23297,SET 40 HEART SHAPE PETIT FOUR CASES,34,52.9
82484,WOOD BLACK BOARD ANT WHITE FINISH,34,258.39
23209,LUNCH BAG DOILEY PATTERN ,34,56.1
84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,34,15.1
22132,RED LOVE HEART SHAPE CUP,34,28.9
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,34,78.92
22553,PLASTERS IN TIN SKULLS,33,59.37
21137,BLACK RECORD COVER FRAME,33,123.75
21901,"KEY FOB , BACK DOOR ",33,28.34
23266,SET OF 3 WOODEN STOCKING DECORATION,33,66.66
22637,PIGGY BANK RETROSPOT ,33,141.15
84536B,FAIRY CAKES NOTEBOOK A7 SIZE,33,13.86
22158,3 HEARTS HANGING DECORATION RUSTIC,33,97.35
23354,6 GIFT TAGS 50'S CHRISTMAS ,33,29.79
22970,LONDON BUS COFFEE MUG,33,84.15
20727,LUNCH BAG  BLACK SKULL.,33,69.34
21916,SET 12 RETRO WHITE CHALK STICKS,32,13.85
23202,JUMBO BAG VINTAGE LEAF,32,66.56
22489,PACK OF 12 TRADITIONAL CRAYONS,32,17.59
21876,POTTERING MUG,32,48.63
22738,RIBBON REEL SNOWY VILLAGE,32,53.66
22155,STAR DECORATION RUSTIC,32,13.44
85172,HYACINTH BULB T-LIGHT CANDLES,32,13.44
22340,NOEL GARLAND PAINTED ZINC ,32,16.0
21291,SMALL POLKADOT CHOCOLATE GIFT BAG ,32,27.2
22974,CHILDRENS DOLLY GIRL MUG,31,52.79
84375,SET OF 20 KIDS COOKIE CUTTERS,31,73.3
47590B,PINK HAPPY BIRTHDAY BUNTING,31,168.95
23355,HOT WATER BOTTLE KEEP CALM,31,165.13
22436,12 COLOURED PARTY BALLOONS,31,20.15
23581,JUMBO BAG PAISLEY PARK,31,64.48
22383,LUNCH BAG SUKI DESIGN ,31,56.11
22296,HEART IVORY TRELLIS LARGE,31,51.15
21224,SET/4 SKULL BADGES,31,38.33
23286,BLUE VINTAGE SPOT BEAKER,30,27.06
21933,PINK VINTAGE PAISLEY PICNIC BAG,30,49.5
22111,SCOTTIE DOG HOT WATER BOTTLE,30,148.5
21210,SET OF 72 RETROSPOT PAPER  DOILIES,30,46.56
22979,PANTRY WASHING UP BRUSH,30,43.5
21989,PACK OF 20 SKULL PAPER NAPKINS,30,29.4
22867,HAND WARMER BIRD DESIGN,30,67.06
23210,WHITE ROCKING HORSE HAND PAINTED,30,37.5
16015,MEDIUM CHINESE STYLE SCISSOR,30,15.0
21992,VINTAGE PAISLEY STATIONERY SET,30,43.55
23188,VINTAGE  2 METRE FOLDING RULER,30,49.5
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,29,26.99
21592,RETROSPOT CIGAR BOX MATCHES ,29,36.25
22384,LUNCH BAG PINK POLKADOT,29,57.78
23225,CHERUB HEART DECORATION SILVER ,29,28.07
21039,RED RETROSPOT SHOPPING BAG,29,86.91
21917,SET 12 KIDS  WHITE CHALK STICKS,29,12.59
21671,RED SPOT CERAMIC DRAWER KNOB,29,42.77
22398,MAGNETS PACK OF 4 SWALLOWS,29,12.17
23367,SET 12 COLOUR PENCILS SPACEBOY ,29,18.85
84992,72 SWEETHEART FAIRY CAKE CASES,29,17.35
71459,HANGING JAM JAR T-LIGHT HOLDER,28,27.16
22555,PLASTERS IN TIN STRONGMAN,28,52.76
21929,JUMBO BAG PINK VINTAGE PAISLEY,28,67.19
22536,MAGIC DRAWING SLATE PURDEY,28,12.62
22596,CHRISTMAS STAR WISH LIST CHALKBOARD,28,35.0
23320,GIANT 50'S CHRISTMAS CRACKER,28,80.92
22561,WOODEN SCHOOL COLOURING SET,28,47.84
21936,RED RETROSPOT PICNIC BAG,28,88.28
23188,VINTAGE  2 METER FOLDING RULER,28,52.76
23198,PANTRY MAGNETIC  SHOPPING LIST,28,42.44
21986,PACK OF 12 PINK POLKADOT TISSUES,28,12.76
22530,MAGIC DRAWING SLATE DOLLY GIRL ,28,12.19
22644,CERAMIC CHERRY CAKE MONEY BANK,28,36.36
23329,DECORATIVE WICKER HEART LARGE,28,46.2
23032,DRAWER KNOB CRACKLE GLAZE IVORY,28,46.2
21211,SET OF 72 SKULL PAPER  DOILIES,28,40.6
22297,HEART IVORY TRELLIS SMALL,27,37.38
22670,FRENCH WC SIGN BLUE METAL,27,36.17
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,27,104.13
22546,MINI JIGSAW PURDEY,27,11.34
85078,SCANDINAVIAN 3 HEARTS NAPKIN RING,27,9.45
22745,POPPY'S PLAYHOUSE BEDROOM ,27,58.73
84997A,CHILDRENS CUTLERY POLKADOT GREEN ,27,112.05
22598,CHRISTMAS MUSICAL ZINC TREE,27,22.89
22602,RETROSPOT WOODEN HEART DECORATION,27,23.73
21159,MOODY BOY  DOOR HANGER ,27,13.71
23376,PACK OF 12 VINTAGE CHRISTMAS TISSUE,26,11.02
21927,BLUE/CREAM STRIPE CUSHION COVER ,26,32.5
22439,6 ROCKET BALLOONS ,26,16.9
21326,AGED GLASS SILVER T-LIGHT HOLDER,26,30.62
22675,FRENCH KITCHEN SIGN BLUE METAL,26,35.02
21136,PAINTED METAL PEARS ASSORTED,26,43.94
84029E,RED WOOLLY HOTTIE WHITE HEART.,26,183.63
22460,EMBOSSED GLASS TEALIGHT HOLDER,26,32.5
22963,JAM JAR WITH GREEN LID,26,23.69
22212,FOUR HOOK  WHITE LOVEBIRDS,26,60.85
22540,MINI JIGSAW CIRCUS PARADE ,26,11.74
22817,CARD SUKI BIRTHDAY,26,11.09
21094,SET/6 RED SPOTTY PAPER PLATES,26,28.52
22842,BISCUIT TIN VINTAGE RED,26,156.3
23566,EGG CUP MILKMAID HEIDI,26,34.92
21675,BUTTERFLIES STICKERS,26,23.72
22631,CIRCUS PARADE LUNCH BOX ,25,48.75
23489,VINTAGE BELLS GARLAND,25,72.25
21730,GLASS STAR FROSTED T-LIGHT HOLDER,25,111.15
22778,GLASS CLOCHE SMALL,25,85.31
23169,CLASSIC GLASS COOKIE JAR,25,96.55
23197,SKETCHBOOK MAGNETIC SHOPPING LIST,25,36.25
22219,LOVEBIRD HANGING DECORATION WHITE ,25,24.37
85150,LADIES & GENTLEMEN METAL SIGN,25,66.16
17084N,FAIRY DREAMS INCENSE ,25,5.25
22819,"BIRTHDAY CARD, RETRO SPOT",25,10.91
16169E,WRAP 50'S  CHRISTMAS,25,10.5
23569,TRADTIONAL ALPHABET STAMP SET,25,123.75
23551,PACK OF 12 PAISLEY PARK TISSUES ,25,10.19
85099C,JUMBO  BAG BAROQUE BLACK WHITE,25,51.74
22709,WRAP WEDDING DAY,25,10.5
21123,SET/10 IVORY POLKADOT PARTY CANDLES,25,32.46
22464,HANGING METAL HEART LANTERN,25,41.25
23231,WRAP  VINTAGE DOILY ,25,10.5
21801,CHRISTMAS TREE DECORATION WITH BELL,25,10.71
22959,WRAP CHRISTMAS VILLAGE,25,10.5
23227,FILIGREE HEART BUTTERFLY WHITE ,25,32.46
23103,JINGLE BELL HEART DECORATION,25,41.25
22962,JAM JAR WITH PINK LID,25,22.03
22710,WRAP I LOVE LONDON ,25,10.5
22950,36 DOILIES VINTAGE CHRISTMAS,25,37.72
